section,exercise_number,exercise_text,a,b,c,d,e,f,graphic,answer,solution
"Admitere F iulie 2012","2012.A.3.","Pornind fără viteză iniţială, un mobil se deplasează rectiliniu pe distanţa de $100 \mathrm{~m}$. Pe primul şi ultimul sfert din distanţa parcursă mobilul se mişcă cu aceeaşi acceleraţie constantă, iar în rest viteza sa este constantă şi egală cu $10 \mathrm{~m} / \mathrm{s}$. Durata deplasării este:\\","$5(\sqrt{2}+1) \mathrm{~s}$","$5 \sqrt{2} \mathrm{~s}$","$0,01 \mathrm{~h}$","$5(\sqrt{2}-1) \mathrm{~s}$","$14 \mathrm{~s}$","$5 / \sqrt{2} \mathrm{~s}$","N/A","a","Pentru primul sfert de drum, din formula lui Galilei, $v^{2}=2 a \frac{d}{4}$, se obţine acceleraţia $a$. Astfel, durata deplasării pe primul sfert de drum este:\\ $t_{1}=\frac{v}{a}=\frac{d}{2 v}=5 \mathrm{~s}$.\\ Durata în care mobilul se deplasează cu viteză constantă este:\\ $t_{2}=\frac{d}{2 v}=5 \mathrm{~s}$.\\ După parcurgerea ultimului sfert de drum, viteza finală este $v_{f}=\sqrt{v^{2}+2 a \frac{d}{4}}$, iar durata corespunzătoare este $t_{3}=\frac{v_{f}-v}{a}=5(\sqrt{2}-1) \mathrm{s}$.\\ Durata totală a deplasării este $t=t_{1}+t_{2}+t_{3}=5(\sqrt{2}+1) \mathrm{~s}$. Răspuns corect a.\\"
"Admitere F iulie 2012","2012.A.4.","Două automobile pleacă în acelaşi moment unul spre celălalt din două localităţi aflate la distanţa de $120 \mathrm{~km}$. Vehiculele se deplasează cu aceeaşi viteză constantă de $60 \mathrm{~km} / \mathrm{h}$. Mobilele se întâlnesc după:\\","$1,5 \mathrm{~h}$","$2 \mathrm{~h}$","$75$ minute","$60$ minute","$45$ minute","$3 \mathrm{~h}$","N/A","d","Din condiţia de întâlnire, $d=v_{1} t+v_{2} t$, rezultă $t=60$ minute. Răspuns corect d.\\"
"Admitere F iulie 2012","2012.A.5.","Un corp cu masa de $100 \mathrm{~kg}$ se află la $10 \mathrm{~m}$ deasupra solului. Se consideră $g=9,81 \mathrm{~m} \cdot \mathrm{~s}^{-2}$. Energia potenţială gravitaţională a corpului este:\\","$981 \mathrm{~J}$","$9,81 \mathrm{~J}$","$1 \mathrm{~kJ}$","$98,10 \mathrm{~J}$","$9810 \mathrm{~J}$","$98,1 \mathrm{~kJ}$","N/A","e","Energia potenţială gravitaţională a corpului este: $E_{p}=m g h=9810 \mathrm{~J}$. Răspuns corect e.\\"
"Admitere F iulie 2012","2012.A.6.","Căldura degajată la trecerea unui curent electric de intensitate $I$ printr-un conductor de rezistenţă $R$, în intervalul de timp $\Delta t$ este:\\","$I^{2} R \Delta t$","$I R^{2} \Delta t^{2}$","$I R^{2} \Delta t$","$I / R^{2} \Delta t$","$I^{2} R^{2} / \Delta t$","$I^{2} R^{2} \Delta t$","N/A","a","Căldura degajată este: $Q=R I^{2} \Delta t$. Răspuns corect a.\\"
"Admitere F iulie 2012","2012.A.7.","Un circuit electric simplu este format dintr-o sursă de tensiune cu rezistenţa internă $r$ şi un rezistor cu rezistenţa $R=4 r$. Randamentul circuitului este:\\","$0,2$","$0,3$","$0,7$","$0,4$","$0,6$","$0,8$","N/A","f","Randamentul circuitului electric este: $\eta=\frac{P_{u}}{P_{c}}=\frac{R}{R+r}=0,8$. Răspuns corect f.\\"
"Admitere F iulie 2012","2012.A.8.","Randamentul unui ciclu Carnot care funcţionează între temperaturile $T_{1}=600 \mathrm{~K}$ şi $T_{2}=300 \mathrm{~K}$ este:\\","$0,4$","$0,6$","$0,75$","$0,5$","$0,25$","$0,55$","N/A","d","Randamentul ciclului Carnot este: $\eta=1-\frac{T_{2}}{T_{1}}=0,5$. Răspuns corect d.\\"
"Admitere F iulie 2012","2012.A.9.","Relaţia Robert-Mayer este:\\","$C_{p}=C_{V}+R$","$\gamma=C_{p} / C_{V}$","$C_{V}=C_{p}+R$","$C_{p}=C_{V}-R / 2$","$R=C_{p}+C_{V}$","$\Delta U=Q-L$","N/A","a","Relaţia Robert-Mayer este: $C_{p}=C_{V}+R$. Răspuns corect a.\\"
"Admitere F iulie 2012","2012.A.10.","Expresia legii lui Ohm pentru un circuit simplu este:\\","$I=\frac{U}{R}+\frac{E}{r}$","$I=\frac{U}{R}$","$I=\frac{E}{r}$","$I=\frac{U}{r}$","$I=\frac{E}{R+r}$","$I=\frac{U}{R+r}$","N/A","e","Legea lui Ohm pentru un circuit simplu este: $I=\frac{E}{R+r}$. Răspuns corect e.\\"
"Admitere F iulie 2012","2012.A.11.","Unitatea de măsură în SI pentru rezistivitatea electrică a unui material conductor este:\\","$\Omega$","$\Omega \cdot \mathrm{m}^{2}$","$\frac{\Omega}{\mathrm{m}}$","$\frac{\Omega^{2}}{\mathrm{m}}$","$\Omega \cdot \mathrm{m}$","$\Omega^{2} \cdot \mathrm{m}$","N/A","e","$[\rho]_{S I}=\Omega \cdot \mathrm{m}$. Răspuns corect e.\\"
"Admitere F iulie 2012","2012.A.12.","În condiţii normale de presiune şi temperatură $\left(p_{0}, T_{0}\right)$, densitatea unui gaz ideal este $\rho_{0}$. Cunoscând căldura specifică a gazului la volum constant $c_{V}$, exponentul său adiabatic este:\\","$\frac{\rho_{0}}{p_{0} T_{0} c_{V}}$","$1+\frac{\rho_{0}}{p_{0} c_{V}}$","$\frac{p_{0}}{\rho_{0} T_{0} c_{V}}$","$1+\frac{\rho_{0} T_{0} c_{V}}{p_{0}}$","$1-\frac{\rho_{0} T_{0} c_{V}}{p_{0}}$","$1+\frac{p_{0}}{\rho_{0} T_{0} c_{V}}$","N/A","f","$\gamma=\frac{C_{p}}{C_{V}}=\frac{C_{V}+R}{C_{V}}=1+\frac{R}{C_{V}}=1+\frac{R}{\mu C_{V}}$. Din ecuaţia termică de stare, $p_{0} V_{0}=\frac{m}{\mu} R T_{0}$, rezultă $\frac{R}{\mu}=\frac{p_{0} V_{0}}{m T_{0}}=\frac{p_{0}}{\rho_{0} T_{0}}$. Înlocuind în expresia lui $\gamma$ rezultă $\gamma=1+\frac{p_{0}}{\rho_{0} T_{0} c_{V}}$. Răspuns corect f.\\"
"Admitere F iulie 2012","2012.A.13.","În cursul unui ciclu termodinamic cu randamentul $\eta=0,2$ se efectuează un lucru mecanic de $1000 \mathrm{~J}$. Căldura cedată sursei reci în cursul ciclului are valoarea absolută de:\\","$5 \mathrm{~kJ}$","$1 \mathrm{~kJ}$","$6000 \mathrm{~J}$","$4 \mathrm{~kJ}$","$2000 \mathrm{~J}$","$3 \mathrm{~kJ}$","N/A","d","Din expresia randamentului, $\eta=\frac{L}{Q_{p}}$, se obţine căldura primită, $Q_{p}$, iar din expresia lucrului mecanic, $L=Q_{p}-\left|Q_{c}\right|$, rezultă $\left|Q_{c}\right|=\frac{L}{\eta}-L=4 \mathrm{~kJ}$. Răspuns corect d.\\"
"Admitere F iulie 2012","2012.A.14.","Un sistem termodinamic primeşte căldura $Q=400 \mathrm{~J}$ şi efectuează lucrul mecanic $L=200 \mathrm{~J}$. Variaţia energiei sale interne este:\\","$400 \mathrm{~J}$","-$200 \mathrm{~J}$","$1000 \mathrm{~J}$","$800 \mathrm{~J}$","$200 \mathrm{~J}$","$600 \mathrm{~J}$","N/A","e","Din ecuaţia principiului I al termodinamicii, $Q=\Delta U+L$, rezultă:\\ $\Delta U=Q-L=200 \mathrm{~J}$. Răspuns corect e.\\"
"Admitere F iulie 2012","2012.A.15.","Sub acţiunea unei forţe de $10 \mathrm{~kN}$ o bară metalică nedeformată se alungeşte cu $40 \mathrm{~mm}$. Lucrul mecanic efectuat este:\\","$120 \mathrm{~J}$","$350 \mathrm{~J}$","$50 \mathrm{~J}$","$970 \mathrm{~J}$","$80 \mathrm{~J}$","$200 \mathrm{~J}$","N/A","f","Forţa deformatoare este $F=k x$. Lucrul mecanic efectuat de această forţă este:\\ $L=\frac{k x^{2}}{2}=\frac{F x}{2}=200 \mathrm{~J}$. Răspuns corect f.\\"
"Admitere F iulie 2012","2012.A.16.","Un mobil se deplasează rectiliniu cu viteza constantă de $84 \frac{\mathrm{km}}{\mathrm{h}}$. Distanţa parcursă de mobil în $1200 \mathrm{~s}$ este:\\","$100 \mathrm{~m}$","$68 \mathrm{~km}$","$77 \mathrm{~m}$","$76 \mathrm{~km}$","$50 \mathrm{~m}$","$28 \mathrm{~km}$","N/A","f","Distanţa parcursă de mobil este: $d=v \cdot t=28 \mathrm{~km}$. Răspuns corect f.\\"
"Admitere F iulie 2012","2012.A.17.","Dintr-un punct aflat la înălțimea de $40 \mathrm{~m}$ se aruncă vertical în sus o piatră, cu viteza iniţială $v_{0}=10 \frac{\mathrm{~m}}{\mathrm{~s}}$. Se consideră $g=10 \frac{\mathrm{~m}}{\mathrm{~s}^{2}}$. Piatra cade pe sol după:\\","$3 \mathrm{~s}$","$1 \mathrm{~s}$","$3,25 \mathrm{~s}$","$2,5 \mathrm{~s}$","$2 \mathrm{~s}$","$4 \mathrm{~s}$","N/A","f","Faţă de punctul de aruncare, piatra se ridică la înălţimea $h_{u}=\frac{v_{0}^{2}}{2 g}=5 \mathrm{~m}$ în timpul $t_{u}=\frac{v_{0}}{g}=1 \mathrm{~s}$. Piatra coboară de la înălţimea maximă atinsă faţă de sol, $h_{\max}=45 \mathrm{~m}$, într-un timp $t_{c}=\sqrt{\frac{2 h_{\max}}{g}}=3 \mathrm{~s}$.\\ Timpul total după care piatra ajunge pe sol este: $t=4 \mathrm{~s}$. Răspuns corect f.\\"
"Admitere F iulie 2012","2012.A.18.","O cantitate de gaz ideal al cărui indice adiabatic este $\gamma=1,4$ este încălzită izobar şi efectuează lucrul mecanic $L=2 \mathrm{~J}$. Căldura primită de gaz în timpul acestui proces este:\\","$5 \mathrm{~J}$","$2 \mathrm{~J}$","$7 \mathrm{~J}$","$7 \mathrm{~kJ}$","$3 \mathrm{~kJ}$","$10 \mathrm{~J}$","N/A","c","Din lucrul mecanic efectuat de gaz în transformarea izobară, $L=p\left(V_{f}-V_{i}\right)=\nu R\left(T_{f}-T_{i}\right)$, rezultă diferenţa de temperatură între stările finală şi iniţială, $T_{f}-T_{i}$. Căldura primită de gaz în timpul procesului izobar este:\\ $Q=\nu C_{p}\left(T_{f}-T_{i}\right)=\nu \frac{\gamma R}{\gamma-1} \frac{L}{\nu R}=7 \mathrm{~J}$. Răspuns corect c.\\"
"Admitere Fa iulie 2019","2019.A.1.","Un sistem termodinamic închis efectuează un lucru mecanic de $200 \mathrm{~J}$ şi primeşte o cantitate de căldură de $600 \mathrm{~J}$. Variația energiei interne a sistemului este: (6pct.)\\","$600 \mathrm{~J}$","$400 \mathrm{~J}$","$300 \mathrm{~J}$","$-800 \mathrm{~J}$","$800 \mathrm{~J}$","$-600 \mathrm{~J}$","N/A","b","Variația energiei interne este diferenţa dintre căldura primită şi lucrul mecanic efectuat: $\Delta \mathrm{U}=\mathrm{Q}-\mathrm{L}=400 \mathrm{~J}$. Răspuns corect b.\\"
"Admitere Fa iulie 2019","2019.A.2.","Un mol de gaz ideal cu căldura molară la volum constant $\mathrm{C}_{\mathrm{v}}=3 \mathrm{R} / 2$ suferă o transformare descrisă de relaţia $\mathrm{T}=\mathrm{aV}^{2}$, unde $a$ este o constantă pozitivă. Căldura molară în această transformare este: (6pct.)\\","$5 R / 2$","$R$","$3 R / 2$","$R / 2$","$2 R$","$3 R$","N/A","e","Folosind ecuaţia termică de stare a gazului ideal $\mathrm{pV}=\nu \mathrm{RT}$ şi ecuaţia transformării suferite de gazul ideal $T=a V^{2}$, obţinem $p V=\nu R a V^{2}$, adică $p=b V$, unde $b=\nu R a$ este tot o constantă pozitivă.\\ În coordonate $\mathrm{p}-\mathrm{V}$, transformarea gazului este descrisă de o dreaptă care trece prin origine. Considerând transformarea între stările iniţială şi finală de temperaturi $\mathrm{T}_{\mathrm{i}}$ şi $\mathrm{T}_{\mathrm{f}}$, după calcularea variaţiei energiei interne $\Delta U=\nu C_{v}\left(T_{f}-T_{i}\right)$ şi a lucrului mecanic efectuat de gaz $L=\frac{p_{f}+p_{i}}{2}\left(V_{f}-V_{i}\right)=\frac{b}{2}\left(V_{f}^{2}-V_{i}^{2}\right)=\nu \frac{R}{2}\left(T_{f}-T_{i}\right)$, folosind $Q=\Delta U+L$ şi definiţia căldurii molare $\mathrm{C}=\frac{\mathrm{Q}}{\nu\left(\mathrm{~T}_{\mathrm{f}}-\mathrm{T}_{\mathrm{i}}\right)}$, se obţine căldura molară a gazului în această transformare: $\mathrm{C}=\mathrm{C}_{\mathrm{v}}+\frac{\mathrm{R}}{2}=2 \mathrm{R}$. Răspuns corect e.\\"
"Admitere Fa iulie 2019","2019.A.3.","Printr-un rezistor cu rezistenţa $R=40 \Omega$ trece un curent cu intensitatea $I=5 \mathrm{~A}$. Energia disipată pe rezistor în timp de o oră este: (6pct.)\\","$7,2 \mathrm{~MJ}$","$100 \mathrm{~kJ}$","$3,6 \mathrm{~kJ}$","$3,6 \mathrm{~MJ}$","$7,2 \mathrm{~kJ}$","$20 \mathrm{~kJ}$","N/A","d","Energia degajată de rezistor este $W=R I^{2} t=3,6 \mathrm{~MJ}$. Răspuns corect d.\\"
"Admitere Fa iulie 2019","2019.A.4.","Într-un circuit simplu format dintr-o sursă cu tensiunea electromotoare $E=12 \mathrm{~V}$, rezistenţa internă $\mathrm{r}=0,5 \Omega$ şi un rezistor cu rezistenţa $\mathrm{R}=5,5 \Omega$, intensitatea curentului este: (6pct.)\\","$6 \mathrm{~A}$","$24 \mathrm{~A}$","$4 \mathrm{~A}$","$2 \mathrm{~A}$","$0,5 \mathrm{~A}$","$3 \mathrm{~A}$","N/A","d","Avem $I=\frac{E}{R+r}=2 \mathrm{~A}$. Răspuns corect d.\\"
"Admitere Fa iulie 2019","2019.A.5.","Un corp cu masa de $0,5 \mathrm{~kg}$ se află în repaus la înălțimea de $0,5 \mathrm{~m}$ faţă de sol. Energia potențială a corpului în câmp gravitaţional ($g=10 \mathrm{~m} / \mathrm{s}^{2}$) este: (6pct.)\\","$5 \mathrm{~J}$","$0,5 \mathrm{~J}$","$0,25 \mathrm{~J}$","$25 \mathrm{~mJ}$","$2,5 \mathrm{~J}$","$25 \mathrm{~J}$","N/A","e","Energia potențială este $E_{p}=mgh=2,5 \mathrm{~J}$. Răspuns corect e.\\"
"Admitere Fa iulie 2019","2019.A.6.","Randamentul unei maşini termice care funcţionează după un ciclu Carnot între temperaturile $300 \mathrm{~K}$ şi $800 \mathrm{~K}$ este: (6pct.)\\","$62,5 \%$","$80 \%$","$87,5 \%$","$37,5 \%$","$42,5 \%$","$30 \%$","N/A","a","Randamentul este: $\eta=1-\frac{T_{r}}{T_{c}}=1-\frac{300 \mathrm{~K}}{800 \mathrm{~K}}=\frac{5}{8}=62,5 \%$. Răspuns corect a.\\"
"Admitere Fa iulie 2019","2019.A.7.","Un rezistor cu rezistenţă variabilă este alimentat de 4 baterii identice legate în serie, fiecare cu tensiunea electromotoare $E=1,5 \mathrm{~V}$ şi rezistenţa internă $r=0,3 \Omega$. Valoarea maximă a puterii ce poate fi debitată pe rezistor este: (6pct.)\\","$30 \mathrm{~W}$","$15 \mathrm{~W}$","$12 \mathrm{~W}$","$7,5 \mathrm{~W}$","$1,2 \mathrm{~W}$","$6 \mathrm{~W}$","N/A","d","Gruparea bateriilor are tensiunea electromotoare echivalentă $E_{e}=4 E=6 \mathrm{~V}$ şi rezistenţa internă echivalentă $r_{e}=4 r=1,2 \Omega$.\\ Pentru o valoare a rezistenței exterioare egală cu $r_{e}$ se degajă o putere maximă pe rezistor $P_{\max}=r_{e} \frac{E_{e}^{2}}{\left(2 r_{e}\right)^{2}}=7,5 \mathrm{~W}$. Răspuns corect d.\\"
"Admitere Fa iulie 2019","2019.A.8.","Rezistenţa echivalentă a doi rezistori cu rezistenţele $R_{1}=4 \Omega$ și $R_{2}=12 \Omega$ legaţi în paralel este: (6pct.)\\","$4 \Omega$","$8 \Omega$","$6 \Omega$","$16 \Omega$","$10 \Omega$","$3 \Omega$","N/A","f","Folosind $\frac{1}{R_{e}}=\frac{1}{R_{1}}+\frac{1}{R_{2}}$, se obţine $R_{e}=3 \Omega$. Răspuns corect f.\\"
"Admitere Fa iulie 2019","2019.A.9.","Trei corpuri de mase $m_{1}=m_{2}=3 m_{3}$ sunt legate printr-un fir ideal trecut peste trei scripeţi ideali ca în figură. Valoarea absolută a raportului acceleraţiilor corpurilor de masă $m_{1}$ şi $m_{3}$ este: (6pct.)\\","$1$","$2 / 3$","$4$","$1 / 3$","$2$","$4 / 3$","images/2025_08_19_7d65f00c22d2f38e2422g-02","a","Comparând masele corpurilor, tragem concluzia că $m_{3}$ urcă, $m_{2}$ urcă şi $m_{1}$ coboară, cu valorile absolute ale acceleraţiilor $a_{3}$, $a_{2}$ şi $a_{1}$. Cum firul este ideal, tensiunea este aceeaşi în tot firul. Astfel, legea a doua a dinamicii pentru cele trei corpuri se scrie:\\ $T-m_{3} g=m_{3} a_{3}$;\\ $m_{1} g-T=m_{1} a_{1}$;\\ $2 T-m_{2} g=m_{2} a_{2}$.\\ Cum la o urcare cu distanța $x$ a corpului 3, fără ca corpul 1 să se mişte, corpul 2 coboară cu $x / 2$ (evident, în acelaşi timp), iar la o coborâre cu distanţa $x$ a corpului 1, fără ca corpul 3 să se miște, corpul 2 urcă cu $x / 2$ (sau mai general, la o urcare cu distanţa $x_{3}$ a corpului 3 şi la o coborâre cu distanţa $x_{1}$ a corpului 1 într-un interval de timp dat, corpul 2 urcă cu o distanţă $x_{2}=\frac{x_{1}-x_{3}}{2}$), obţinem:\\ $a_{2}=\frac{a_{1}-a_{3}}{2}$.\\ Exprimând $T$ dintr-una din primele 3 ecuaţii şi înlocuind în celelalte două, şi folosind şi cea de-a patra ecuaţie, obţinem un sistem de 3 ecuaţii liniare cu 3 necunoscute, $a_{1}$, $a_{2}$ și $a_{3}$, care are soluţiile:\\ $a_{1}=g / 2$, $a_{2}=0$, $a_{3}=g / 2$.\\ În final, $\frac{a_{1}}{a_{3}}=1$. Comparând cu consideraţiile iniţiale, constatăm că $m_{3}$ într-adevăr urcă, $m_{1}$ într-adevăr coboară, iar $m_{2}$ are o acceleraţie nulă, deci dacă viteza sa iniţială este nulă, rămâne în repaus. Răspuns corect a.\\"
"Admitere Fa iulie 2019","2019.A.10.","Racheta Saturn folosită în programul Apollo genera o forţă de propulsie de $35 \mathrm{~MN}$. Ştiind că masa rachetei era de $2800$ de tone, acceleraţia acesteia după lansare a fost ($\mathrm{g}=10 \mathrm{~m} / \mathrm{s}^{2}$): (6pct.)\\","$10 \mathrm{~m} / \mathrm{s}^{2}$","$28 \mathrm{~m} / \mathrm{s}^{2}$","$7 \mathrm{~m} / \mathrm{s}^{2}$","$35 \mathrm{~m} / \mathrm{s}^{2}$","$2,5 \mathrm{~m} / \mathrm{s}^{2}$","$3,5 \mathrm{~m} / \mathrm{s}^{2}$","N/A","e","Lansarea fiind pe verticală, acceleraţia rachetei este:\\ $\mathrm{a}=\frac{\mathrm{F}-\mathrm{mg}}{\mathrm{m}}=\frac{\mathrm{F}}{\mathrm{m}}-\mathrm{g}=2,5 \mathrm{~m} / \mathrm{s}^{2}$. Răspuns corect e.\\"
"Admitere Fa iulie 2019","2019.A.11.","Un corp cu masa de $2 \mathrm{~kg}$ are viteza $10 \mathrm{~m} / \mathrm{s}$. Impulsul corpului este: (6pct.)\\","$100 \mathrm{~N} \cdot \mathrm{~s}$","$5 \mathrm{~N} \cdot \mathrm{~s}$","$50 \mathrm{~N} \cdot \mathrm{~s}$","$10 \mathrm{~N} \cdot \mathrm{~s}$","$20 \mathrm{~N} \cdot \mathrm{~s}$","$2 \mathrm{~N} \cdot \mathrm{~s}$","N/A","e","Impulsul este: $\mathrm{p}=\mathrm{mv}=20 \mathrm{~kg} \cdot \mathrm{m} / \mathrm{s}=20 \mathrm{~N} \cdot \mathrm{s}$. Răspuns corect e.\\"
"Admitere Fa iulie 2019","2019.A.12.","Un mobil cu masa $\mathrm{m}=200 \mathrm{~g}$ se mişcă după legea $\mathrm{x}(\mathrm{t})=4+2 \mathrm{t}+2 \mathrm{t}^{2}$ (x este măsurat în metri, iar $t$ în secunde). Energia cinetică a mobilului la momentul $t=2 \mathrm{~s}$ este: (6pct.)\\","$4 \mathrm{~J}$","$1 \mathrm{~J}$","$10 \mathrm{~J}$","$30 \mathrm{~J}$","$2 \mathrm{~J}$","$20 \mathrm{~J}$","N/A","c","Viteza mobilului este $\mathrm{v}(\mathrm{t})=\frac{\mathrm{dx}}{\mathrm{dt}}=2+4 \mathrm{t}$, deci $\mathrm{v}(2)=10 \mathrm{~m} / \mathrm{s}$ şi $\mathrm{E}_{\mathrm{c}}=\frac{\mathrm{mv}^{2}}{2}=10 \mathrm{~J}$. Răspuns corect c.\\"
"Admitere Fa iulie 2019","2019.A.13.","În SI unitatea de măsură pentru căldura specifică este: (6pct.)\\","$\mathrm{J} \cdot \mathrm{K}^{-1}$","$\mathrm{J} \cdot \mathrm{kg}^{-1} \cdot \mathrm{~K}$","$\mathrm{J} \cdot \mathrm{kg}^{-1}$","$\mathrm{J} \cdot \mathrm{mol}^{-1} \cdot \mathrm{~K}^{-1}$","$\mathrm{J} \cdot \mathrm{kg}^{-1} \cdot \mathrm{~K}^{-1}$","$\mathrm{J} \cdot \mathrm{kg} \cdot \mathrm{K}^{-1}$","N/A","e","Din definiţie $\mathrm{c}=\frac{\mathrm{Q}}{\mathrm{m} \Delta \mathrm{T}}$, deci $\left[\mathrm{c}\right]_{\mathrm{SI}}=\frac{\mathrm{J}}{\mathrm{kg} \cdot \mathrm{K}}$. Răspuns corect e.\\"
"Admitere Fa iulie 2019","2019.A.14.","În circuitul din figură se cunosc $\mathrm{R}_{1}=3 \Omega$ şi $\mathrm{R}_{2}=9 \Omega$. Rezistenţa echivalentă între punctele A şi B este: (6pct.)\\","$7,5 \Omega$","$4,5 \Omega$","$6 \Omega$","$5 \Omega$","$2,5 \Omega$","$6,5 \Omega$","images/2025_08_19_7d65f00c22d2f38e2422g-04(1)","d","Considerăm că se pune o tensiune electrică $\mathrm{U}_{\mathrm{AB}}$ între punctele A și B, cu borna pozitivă pe A şi cea negativă pe B. În acest caz curenţii electrici care trec prin gruparea de rezistenţe se figurează astfel:\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_08_19_7d65f00c22d2f38e2422g-04(2)} \end{center}\\ Folosim acum simetria montajului de rezistoare. Astfel, rotind figura cu $180^{\circ}$:\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_08_19_7d65f00c22d2f38e2422g-04} \end{center}\\ Eventual desenând-o pe o altă hârtie, observăm mai întâi curenţii, apoi punem tensiunea electrică $\mathrm{U}_{\mathrm{AB}}$ cu borna pozitivă pe B (care acum a ajuns în stânga), deci schimbăm sensul tuturor curenţilor. Constatăm că avem aceeaşi figură ca la început (borna B este vechea bornă A şi invers), şi că: $\mathrm{I}_{5}=\mathrm{I}_{1}$, $\mathrm{I}_{4}=\mathrm{I}_{2}$.\\ Folosind aceste rezultate, refacem prima figură:\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_08_19_7d65f00c22d2f38e2422g-05} \end{center}\\ Folosind legile lui Kirchhoff, avem:\\ $\mathrm{I}=\mathrm{I}_{1}+\mathrm{I}_{2}$;\\ $\mathrm{I}_{1}=\mathrm{I}_{2}+\mathrm{I}_{3}$;\\ $\mathrm{I}_{1} \mathrm{R}_{1}+\mathrm{I}_{3} \mathrm{R}_{1}=\mathrm{I}_{2} \mathrm{R}_{2}$.\\ Din ultimele două ecuaţii obţinem:\\ $\mathrm{I}_{2}=\frac{2 \mathrm{I}_{1} \mathrm{R}_{1}}{\mathrm{R}_{1}+\mathrm{R}_{2}}$;\\ $I_{3}=\frac{I_{1}\left(R_{2}-R_{1}\right)}{R_{1}+R_{2}}$.\\ Avem, folosind semnificaţia rezistenţei echivalente între punctele A şi B:\\ $\mathrm{U}_{\mathrm{AB}}=\mathrm{R}_{\mathrm{e}} \mathrm{I}=\mathrm{R}_{\mathrm{e}}\left(\mathrm{I}_{1}+\mathrm{I}_{2}\right)=\mathrm{R}_{\mathrm{e}} \mathrm{I}_{1} \frac{3 \mathrm{R}_{1}+\mathrm{R}_{2}}{\mathrm{R}_{1}+\mathrm{R}_{2}}$\\ Și de asemenea, folosind drumul dintre punctele A şi B format din laturile din partea de sus a grupării:\\ $\mathrm{U}_{\mathrm{AB}}=\mathrm{R}_{1} \mathrm{I}_{1}+\mathrm{R}_{2} \mathrm{I}_{2}=\mathrm{R}_{1} \mathrm{I}_{1} \frac{\mathrm{R}_{1}+3 \mathrm{R}_{2}}{\mathrm{R}_{1}+\mathrm{R}_{2}}$.\\ Deci rezistenţa echivalentă între punctele $A$ şi $B$ este:\\ $R_{e}=R_{1} \frac{R_{1}+3 R_{2}}{3 R_{1}+R_{2}}=5 \Omega$. Răspuns corect d.\\"
"Admitere Fa iulie 2019","2019.A.15.","Un gaz ideal se destinde adiabatic. În cursul procesului volumul creşte de $100$ ori iar temperatura scade de $10$ ori. Exponentul adiabatic al gazului este: (6pct.)\\","$4 / 3$","$2$","$7 / 5$","$3 / 2$","$6 / 5$","$5 / 4$","N/A","d","Legea transformării adiabatice este $\mathrm{TV}^{\gamma-1}=\mathrm{ct}=\mathrm{T}_{\mathrm{i}} \mathrm{V}_{\mathrm{i}}^{\gamma-1}=\mathrm{T}_{\mathrm{f}} \mathrm{V}_{\mathrm{f}}^{\gamma-1}$. Folosind şi datele din enunţ scriem $\left(\frac{V_{f}}{V_{i}}\right)^{\gamma-1}=100^{\gamma-1}=\frac{T_{i}}{T_{f}}=10$. Deci exponentul adiabatic al gazului este $\gamma=1,5$. Răspuns corect d.\\"
"Admitere Fa iulie 2018","2018.A.1.","Un corp este lansat cu viteza initială de $10 \mathrm{~m} / \mathrm{s}$ pe un plan orizontal. Coeficientul de frecare la alunecare dintre corp şi plan este $0,2$. Timpul după care corpul se opreşte este $\left(g=10 \mathrm{~m} / \mathrm{s}^{2}\right)$ : (6 pct.)\\","$5 \mathrm{~s}$","$2 \mathrm{~s}$","$1 \mathrm{~s}$","$0,5 \mathrm{~s}$","$10 \mathrm{~s}$","$8 \mathrm{~s}$","N/A","a","Valoarea absolută a accelerației este $a=\mu g$ iar timpul pînă la oprire $\tau=\frac{v_{0}}{a}=5 \mathrm{~s}$. Răspuns corect a.\\"
"Admitere Fa iulie 2018","2018.A.2.","Un mobil de masă $m=200 \mathrm{~g}$ se mişcă după legea de mişcare $x(t)=4+2 t+2 t^{2}$, unde $x$ este măsurat în metri, iar $t$ în secunde. Impulsul mobilului la momentul $t=0$ este: (6 pct.)\\","$0,40 \mathrm{~N} \cdot \mathrm{~s}$","$0,21 \mathrm{~N} \cdot \mathrm{~s}$","$0,49 \mathrm{~N} \cdot \mathrm{~s}$","$2,00 \mathrm{~N} \cdot \mathrm{~s}$","$1,00 \mathrm{~N} \cdot \mathrm{~s}$","$4,00 \mathrm{~N} \cdot \mathrm{~s}$","N/A","a","$v(t)=\frac{d x}{d t}=2+4 t$, cu $v(0)=2 \mathrm{~m} / \mathrm{s}$ şi $p(0)=m \cdot v(0)=0,4 \mathrm{~kg} \cdot \mathrm{~m} / \mathrm{s}=0,4 \mathrm{~N} \cdot \mathrm{~s}$. Răspuns corect a.\\"
